country,year,value
CHN,2000,969.199513696287
CHN,2001,1065.40597574519
CHN,2002,1163.55957673426
CHN,2003,1306.97245408557
CHN,2004,1530.92726215723
CHN,2005,1777.64496828464
CHN,2006,2129.25696999613
CHN,2007,2734.72709877693
CHN,2008,3523.44302065213
CHN,2009,3898.24459158811
CHN,2010,4629.24551710077
CHN,2011,5703.76027973346
CHN,2012,6405.0574241349
CHN,2013,7147.03518622344
CHN,2014,7781.06597484974
CHN,2015,8175.33285077393
CHN,2016,8254.86859320357
CHN,2017,8979.67652709856
CHN,2018,10085.6638148819
CHN,2019,10342.9009524335
CHN,2020,10627.4637989619
JPN,2000,39752.937397755
JPN,2001,34910.166403687
JPN,2002,33315.9165174962
JPN,2003,35808.6816792388
JPN,2004,38677.5708064787
JPN,2005,38158.6758263963
JPN,2006,36354.4271646349
JPN,2007,36129.9535132925
JPN,2008,40294.2081309702
JPN,2009,41678.1783063195
JPN,2010,45378.1378109399
JPN,2011,49122.077634247
JPN,2012,49626.6830327571
JPN,2013,41369.1948479498
JPN,2014,39172.8471161948
JPN,2015,35664.6446110613
JPN,2016,40214.9688631562
JPN,2017,39679.8635262948
JPN,2018,40645.478086519
JPN,2019,41424.8655601543
JPN,2020,41098.9739004553
USA,2000,36329.9702595751
USA,2001,37133.6203973517
USA,2002,37997.7424300242
USA,2003,39490.3023903176
USA,2004,41724.6411982614
USA,2005,44123.3996470026
USA,2006,46301.9876485519
USA,2007,48050.227412195
USA,2008,48570.0594269601
USA,2009,47194.9500893872
USA,2010,48642.6312088213
USA,2011,50024.8812320773
USA,2012,51708.3940614082
USA,2013,53297.3862901595
USA,2014,55153.3940182967
USA,2015,56849.4697923159
USA,2016,57976.628204291
USA,2017,60047.7190728307
USA,2018,62875.6661382728
USA,2019,65227.9565911038
USA,2020,64465.2971415748
